,,,," $1,084,159 ",,,,,
,State,County, # of Mailers ,Spend,,,,,
,New Jersey,Essex," 2,043 "," $1,355 ",,,,,
,Michigan,Shiawassee," 2,042 "," $1,354 ",,,,,
,Indiana,Floyd," 2,033 "," $1,348 ",,,,,
,Indiana,Jefferson," 2,029 "," $1,345 ",,,,,
,Ohio,Hancock," 2,024 "," $1,342 ",,,,,
,Iowa,Muscatine," 2,006 "," $1,330 ",,,,,
,Oklahoma,Oklahoma," 1,985 "," $1,316 ",,,,,
,Georgia,Bulloch," 1,984 "," $1,315 ",,,,,
,Alabama,Lauderdale," 1,961 "," $1,300 ",,,,,
,North Carolina,Rockingham," 1,956 "," $1,297 ",,,,,
,New York,Herkimer," 1,948 "," $1,292 ",,,,,
,Delaware,Sussex," 1,942 "," $1,288 ",,,,,
,Georgia,Thomas," 1,930 "," $1,280 ",,,,,
,Alabama,Fayette," 1,923 "," $1,275 ",,,,,
,Alabama,Winston," 1,910 "," $1,266 ",,,,,
,North Carolina,Vance," 1,907 "," $1,264 ",,,,,
,Oklahoma,Carter," 1,906 "," $1,264 ",,,,,
,Tennessee,DeKalb," 1,894 "," $1,256 ",,,,,
,Tennessee,Macon," 1,883 "," $1,248 ",,,,,
,North Carolina,Halifax," 1,878 "," $1,245 ",,,,,
,Ohio,Guernsey," 1,874 "," $1,242 ",,,,,
,Arkansas,Crawford," 1,869 "," $1,239 ",,,,,
,Tennessee,Fentress," 1,859 "," $1,233 ",,,,,
,South Carolina,Richland," 1,851 "," $1,227 ",,,,,
,New York,Montgomery," 1,834 "," $1,216 ",,,,,
,North Carolina,Robeson," 1,833 "," $1,215 ",,,,,
,Alabama,Blount," 1,829 "," $1,213 ",,,,,
,New York,Otsego," 1,827 "," $1,211 ",,,,,
,Iowa,Marshall," 1,826 "," $1,211 ",,,,,
,North Carolina,Wilkes," 1,814 "," $1,203 ",,,,,
,Kentucky,Boone," 1,813 "," $1,202 ",,,,,
,New York,Chemung," 1,810 "," $1,200 ",,,,,
,Kentucky,Martin," 1,805 "," $1,197 ",,,,,
,Ohio,Ottawa," 1,772 "," $1,175 ",,,,,
,Michigan,St. Joseph," 1,766 "," $1,171 ",,,,,
,North Carolina,Pasquotank," 1,762 "," $1,168 ",,,,,
,California,Butte," 1,758 "," $1,166 ",,,,,
,Kentucky,Hopkins," 1,752 "," $1,162 ",,,,,
,Ohio,Sandusky," 1,738 "," $1,152 ",,,,,
,Louisiana,East Baton Rouge," 1,732 "," $1,148 ",,,,,
,Ohio,Crawford," 1,729 "," $1,146 ",,,,,
,Tennessee,Marion," 1,728 "," $1,146 ",,,,,
,New York,Cortland," 1,721 "," $1,141 ",,,,,
,Kentucky,Letcher," 1,706 "," $1,131 ",,,,,
,New Jersey,Salem," 1,700 "," $1,127 ",,,,,
,New York,Washington," 1,689 "," $1,120 ",,,,,
,Georgia,Ben Hill," 1,683 "," $1,116 ",,,,,
,Pennsylvania,Erie," 1,683 "," $1,116 ",,,,,
,Indiana,Washington," 1,670 "," $1,107 ",,,,,
,Kentucky,Leslie," 1,651 "," $1,095 ",,,,,
,Georgia,Upson," 1,647 "," $1,092 ",,,,,
,North Carolina,Wilson," 1,646 "," $1,091 ",,,,,
,North Carolina,Lee," 1,628 "," $1,079 ",,,,,
,Tennessee,Lewis," 1,583 "," $1,050 ",,,,,
,Georgia,Colquitt," 1,580 "," $1,048 ",,,,,
,Alabama,Chambers," 1,579 "," $1,047 ",,,,,
,Georgia,Walker," 1,579 "," $1,047 ",,,,,
,Georgia,Baldwin," 1,562 "," $1,036 ",,,,,
,Tennessee,Jackson," 1,547 "," $1,026 ",,,,,
,Indiana,Marion," 1,544 "," $1,024 ",,,,,
,South Carolina,Anderson," 1,533 "," $1,016 ",,,,,
,Louisiana,Lafayette," 1,532 "," $1,016 ",,,,,
,Missouri,Jackson," 1,521 "," $1,008 ",,,,,
,Kentucky,Calloway," 1,516 "," $1,005 ",,,,,
,Maine,Kennebec," 1,516 "," $1,005 ",,,,,
,Arkansas,Garland," 1,511 "," $1,002 ",,,,,
,Texas,McLennan," 1,499 ", $994 ,,,,,
,California,Riverside," 1,499 ", $994 ,,,,,
,Indiana,Miami," 1,494 ", $991 ,,,,,
,Indiana,Lawrence," 1,488 ", $987 ,,,,,
,Tennessee,Loudon," 1,485 ", $985 ,,,,,
,Tennessee,Bledsoe," 1,479 ", $981 ,,,,,
,Tennessee,Fayette," 1,470 ", $975 ,,,,,
,Kentucky,Jackson," 1,464 ", $971 ,,,,,
,Ohio,Ashtabula," 1,459 ", $967 ,,,,,
,Vermont,Windham," 1,455 ", $965 ,,,,,
,New York,Chenango," 1,453 ", $963 ,,,,,
,Georgia,Coffee," 1,446 ", $959 ,,,,,
,Tennessee,Smith," 1,444 ", $957 ,,,,,
,Tennessee,Perry," 1,443 ", $957 ,,,,,
,Missouri,Dunklin," 1,438 ", $953 ,,,,,
,Ohio,Washington," 1,436 ", $952 ,,,,,
,Ohio,Coshocton," 1,433 ", $950 ,,,,,
,Kansas,Leavenworth," 1,430 ", $948 ,,,,,
,New Jersey,Gloucester," 1,427 ", $946 ,,,,,
,Oklahoma,Canadian," 1,423 ", $943 ,,,,,
,Tennessee,Humphreys," 1,421 ", $942 ,,,,,
,Indiana,Huntington," 1,416 ", $939 ,,,,,
,Tennessee,Washington," 1,412 ", $936 ,,,,,
,Michigan,Branch," 1,412 ", $936 ,,,,,
,Tennessee,Stewart," 1,410 ", $935 ,,,,,
,Ohio,Jackson," 1,407 ", $933 ,,,,,
,Oklahoma,Pittsburg," 1,404 ", $931 ,,,,,
,Arizona,Navajo," 1,401 ", $929 ,,,,,
,Georgia,Tift," 1,389 ", $921 ,,,,,
,Georgia,Gordon," 1,381 ", $916 ,,,,,
,Oklahoma,Ottawa," 1,375 ", $912 ,,,,,
,Indiana,Dearborn," 1,372 ", $910 ,,,,,
,Kentucky,Nicholas," 1,364 ", $904 ,,,,,
,Ohio,Darke," 1,363 ", $904 ,,,,,
,North Carolina,Scotland," 1,361 ", $902 ,,,,,
,Tennessee,Lincoln," 1,361 ", $902 ,,,,,
,Tennessee,Morgan," 1,360 ", $902 ,,,,,
,Kentucky,Cumberland," 1,351 ", $896 ,,,,,
,Texas,Potter," 1,351 ", $896 ,,,,,
,North Carolina,Stanly," 1,347 ", $893 ,,,,,
,Indiana,Clinton," 1,328 ", $880 ,,,,,
,Virginia,Martinsville City," 1,328 ", $880 ,,,,,
,New Hampshire,Merrimack," 1,325 ", $878 ,,,,,
,North Carolina,Edgecombe," 1,324 ", $878 ,,,,,
,New York,Orleans," 1,320 ", $875 ,,,,,
,Ohio,Knox," 1,285 ", $852 ,,,,,
,North Carolina,Harnett," 1,278 ", $847 ,,,,,
,Kentucky,Grant," 1,262 ", $837 ,,,,,
,Minnesota,St. Louis," 1,242 ", $823 ,,,,,
,Tennessee,Clay," 1,236 ", $819 ,,,,,
,Wisconsin,Marinette," 1,236 ", $819 ,,,,,
,Michigan,Hillsdale," 1,233 ", $817 ,,,,,
,Alabama,Coffee," 1,231 ", $816 ,,,,,
,Tennessee,Tipton," 1,227 ", $814 ,,,,,
,Kansas,Butler," 1,227 ", $814 ,,,,,
,Alabama,Randolph," 1,223 ", $811 ,,,,,
,Michigan,Ingham," 1,218 ", $808 ,,,,,
,Ohio,Clark," 1,215 ", $806 ,,,,,
,Pennsylvania,Lehigh," 1,215 ", $806 ,,,,,
,Kansas,Cowley," 1,197 ", $794 ,,,,,
,Georgia,Catoosa," 1,181 ", $783 ,,,,,
,North Carolina,Randolph," 1,172 ", $777 ,,,,,
,New York,Franklin," 1,172 ", $777 ,,,,,
,Ohio,Huron," 1,170 ", $776 ,,,,,
,Tennessee,Grainger," 1,167 ", $774 ,,,,,
,Louisiana,Ouachita," 1,167 ", $774 ,,,,,
,Maine,Penobscot," 1,166 ", $773 ,,,,,
,Tennessee,Polk," 1,153 ", $764 ,,,,,
,Kentucky,Gallatin," 1,151 ", $763 ,,,,,
,New York,Wayne," 1,149 ", $762 ,,,,,
,Indiana,Jennings," 1,138 ", $754 ,,,,,
,Pennsylvania,Allegheny," 1,129 ", $749 ,,,,,
,Tennessee,Lauderdale," 1,128 ", $748 ,,,,,
,Tennessee,Hawkins," 1,125 ", $746 ,,,,,
,Oklahoma,Tulsa," 1,123 ", $745 ,,,,,
,Pennsylvania,Cumberland," 1,123 ", $745 ,,,,,
,South Carolina,Oconee," 1,119 ", $742 ,,,,,
,Pennsylvania,Pike," 1,116 ", $740 ,,,,,
,Kentucky,Menifee," 1,114 ", $739 ,,,,,
,Indiana,Lake," 1,114 ", $739 ,,,,,
,Pennsylvania,Lycoming," 1,114 ", $739 ,,,,,
,Alabama,Baldwin," 1,112 ", $737 ,,,,,
,Michigan,Gratiot," 1,108 ", $735 ,,,,,
,Tennessee,Carter," 1,105 ", $733 ,,,,,
,Michigan,Mason," 1,104 ", $732 ,,,,,
,Indiana,Shelby," 1,102 ", $731 ,,,,,
,Pennsylvania,Washington," 1,093 ", $725 ,,,,,
,Missouri,Johnson," 1,089 ", $722 ,,,,,
,Alabama,Dallas," 1,077 ", $714 ,,,,,
,North Carolina,Lincoln," 1,076 ", $713 ,,,,,
,Michigan,Kent," 1,071 ", $710 ,,,,,
,Georgia,Toombs," 1,066 ", $707 ,,,,,
,Oklahoma,Okmulgee," 1,060 ", $703 ,,,,,
